type,url
Tier 4,http://psainath.org/category/the-agrarian-crisis/farmer-suicides/
Tier 4,http://psainath.org/category/media/
Tier 4,http://psainath.org/category/media/paid-news/
Tier 4,http://repowerportaugusta.org/civicrm/contribute/transact_reset_1_id_1/
Tier 4,http://repowerportaugusta.org/user/
Tier 4,http://repowerportaugusta.org/user/register/
Tier 4,http://repowerportaugusta.org/thefacts/
Tier 4,http://repowerportaugusta.org/takeaction/
Tier 4,http://draftbeto2020.org/our-team/
Tier 4,http://draftbeto2020.org/volunteer/
Tier 4,https://geofdarrow.com
Tier 4,http://growthengine.blog/
Tier 4,http://icchange.co.uk/take-action/
Tier 4,http://icchange.co.uk/contact/
Tier 4,http://icchange.co.uk/about/
Tier 4,http://icchange.co.uk/istanbul-convention/
Tier 4,http://icchange.co.uk/istanbul-convention/why-do-we-need-it/
Tier 4,http://projectbreaker.org/about/
Tier 4,http://projectbreaker.org/process/
Tier 4,http://projectbreaker.org/breakers2/
Tier 4,http://projectbreaker.org/leads/
Tier 4,http://projectbreaker.org/news/
Tier 4,http://3dfuture.net/get-started/
Tier 4,http://3dfuture.net/our-portfolio-of-3d-interactive-devices/
Tier 4,http://3dfuture.net/completed-3d-models/
Tier 4,http://3dfuture.net/customize-models/
Tier 4,http://3dfuture.net/faq/
Tier 4,https://legendscricket.in
Tier 4,http://livias.co.uk/collections/all
Tier 4,http://livias.co.uk/collections/million-squares
Tier 4,http://livias.co.uk/collections/nugglets
Tier 4,http://livias.co.uk/collections/gifts
Tier 4,http://livias.co.uk/collections/swag
